항목,1분기,2분기,3분기(계획),4분기(계획),연간합계
인건비,18000000,20000000,22000000,23000000,83000000
개발비,5000000,8000000,10000000,10000000,33000000
마케팅비,6000000,8000000,10000000,12000000,36000000
영업비,3000000,4000000,5000000,5000000,17000000
운영비,5000000,3000000,3500000,3500000,15000000
교육훈련비,1000000,1500000,2000000,2000000,6500000
복리후생비,2000000,2500000,3000000,3000000,10500000
임차료,6000000,6000000,6000000,6000000,24000000
IT인프라,3000000,4000000,5000000,3000000,15000000
기타,1000000,1000000,1500000,1500000,5000000
분기합계,50000000,58000000,68000000,69000000,245000000
