dept_id,dept_name,org_id,dept_code,phone,fax,floor_location,description
101,홍보담당관,2,D101,041-521-2080,041-521-2089,본관 8층,홍보업무 총괄 및 보도자료 관리
102,감사관,2,D102,041-521-2040,041-521-2049,본관 4층,감사업무 총괄 및 청렴윤리 관리
103,스마트도시추진과,2,D103,041-521-2205,041-521-2209,본관 7층,스마트도시 정책 및 AI산업 추진
201,정책기획과,3,D201,041-521-2150,041-521-2159,본관 8층,정책 기획 및 조직관리
202,예산법무과,3,D202,041-521-2020,041-521-2028,본관 8층,예산 편성 및 법무 업무
203,청년정책과,3,D203,041-521-2015,041-521-2019,본관 1층,청년 정책 및 일자리 지원
204,세정과,3,D204,041-521-2290,041-521-2299,본관 6층,세무 및 징수 업무
301,미래전략과,4,D301,041-521-2190,041-521-2199,본관 2층,미래전략산업 발굴 및 스타트업 지원
302,일자리경제과,4,D302,041-521-2170,041-521-2179,본관 2층,일자리 창출 및 경제 정책
303,기업지원과,4,D303,041-521-2360,041-521-2369,본관 8층,기업 지원 및 산업단지 관리
304,허가과,4,D304,041-521-2500,041-521-2169,본관 1층,각종 인허가 업무
305,산업단지조성추진과,4,D305,041-521-2650,041-521-2149,본관 10층,산업단지 조성 및 개발
401,행정지원과,5,D401,041-521-2210,041-521-2219,본관 6층,인사 및 총무 업무
402,자치분권과,5,D402,041-521-2240,041-521-2249,본관 6층,자치행정 및 주민자치
403,회계과,5,D403,041-521-2270,041-521-2279,본관 6층,회계 및 계약 관리
404,스마트정보과,5,D404,041-521-2310,041-521-2099,본관 4층,정보화 및 전산망 운영
405,민원여권과,5,D405,041-521-2250,041-521-2259,본관 1층,민원 접수 및 여권 발급
501,복지정책과,6,D501,041-521-3430,041-521-3439,본관 1층,복지 정책 총괄 및 기초생활보장
502,여성가족과,6,D502,041-521-2370,041-521-2379,본관 3층,여성친화 및 가족지원 정책
503,아동보육과,6,D503,041-521-2690,041-521-2699,본관 3층,아동복지 및 보육 정책
504,노인복지과,6,D504,041-521-2710,041-521-2329,본관 1층,노인복지 및 요양서비스
505,장애인복지과,6,D505,041-521-2730,041-521-3529,본관 1층,장애인 복지 및 재활 지원
601,문화예술과,7,D601,041-521-2470,041-521-2039,본관 11층,문화예술 및 공연 지원
602,체육진흥과,7,D602,041-521-2490,041-521-2269,본관 10층,체육시설 및 생활체육 진흥
603,관광과,7,D603,041-521-2510,041-521-2839,본관 11층,관광 정책 및 관광지 개발
604,교육청소년과,7,D604,041-521-2530,041-521-2289,본관 2층,교육 지원 및 청소년 정책
605,축구종합센터건립추진과,7,D605,041-521-2550,041-521-2189,오룡홀 2층,축구센터 건립 추진
606,K-컬처박람회추진과,7,D606,041-521-2570,041-521-2088,본관 2층,K-컬처 박람회 기획 추진
701,농업정책과,8,D701,041-521-2590,041-521-2389,본관 5층,농업 정책 및 농산물 유통
702,축산과,8,D702,041-521-2610,041-521-2399,본관 5층,축산 진흥 및 방역 관리
703,환경정책과,8,D703,041-521-2630,041-521-2339,본관 5층,환경 정책 및 보전
704,기후에너지과,8,D704,041-521-2670,041-521-2749,본관 5층,기후변화 대응 및 에너지 정책
705,청소행정과,8,D705,041-521-2750,041-521-2349,본관 2층,청소 및 폐기물 관리
706,식품안전과,8,D706,041-521-2770,041-521-2359,본관 5층,식품 위생 및 안전관리
801,건설도로과,9,D801,041-521-2790,041-521-2489,본관 9층,도로 건설 및 유지보수
802,안전총괄과,9,D802,041-521-2810,041-521-2419,본관 9층,재난 안전 및 비상대응
803,교통정책과,9,D803,041-521-2830,041-521-2459,본관 10층,교통 정책 및 체계 개선
804,대중교통과,9,D804,041-521-2850,041-521-2469,본관 10층,버스 및 대중교통 운영
805,하천과,9,D805,041-521-2870,041-521-3039,본관 10층,하천 관리 및 치수 사업
901,도시계획과,10,D901,041-521-2890,041-521-2479,본관 9층,도시 계획 수립 및 관리
902,도시재생과,10,D902,041-521-2910,041-521-3429,본관 10층,도시재생 및 주거환경 개선
903,건축과,10,D903,041-521-2930,041-521-2499,본관 11층,건축 인허가 및 관리
904,공동주택과,10,D904,041-521-2950,041-521-2439,본관 11층,공동주택 관리 및 지원
905,토지정보과,10,D905,041-521-2970,041-521-2449,오룡홀 2층,토지 정보 및 지적 관리
906,공공시설과,10,D906,041-521-2990,041-521-2739,오룡홀 2층,공공시설 건립 및 관리
