floor_id,building_name,floor_number,floor_name,main_departments,facilities,area_type
1,천안시청 본관,1,본관 1층,"민원여권과,노인복지과,허가과,복지정책과,장애인복지과,청년정책과","청사카페,민원실,대기공간",민원서비스층
2,천안시청 본관,2,본관 2층,"미래전략과,일자리경제과,교육청소년과,청소행정과,K-컬처박람회추진과","도솔도서관",행정문화층
3,천안시청 본관,3,본관 3층,"여성가족과,아동보육과","콜센터,대회의실,천안시정공무원노동조합",복지행정층
4,천안시청 본관,4,본관 4층,"스마트정보과,감사관","복지정책국장실,전략산업국장실,감사실,방송실,통신실,전산실",정보관리층
5,천안시청 본관,5,본관 5층,"농업정책과,환경정책과,축산과,식품안전과,기후에너지과","회의실,농업환경국장실",농업환경층
6,천안시청 본관,6,본관 6층,"회계과,세정과,자치분권과,행정지원과","문화체육국장실,행정자치국장실",재정행정층
7,천안시청 본관,7,본관 7층,"스마트도시추진과","부시장실,중회의실,영상회의실,시장실,비서실,제1소회의실,제2소회의실,직소민원실",시장실층
8,천안시청 본관,8,본관 8층,"홍보담당관,정책기획과,기업지원과,예산법무과","정책보좌관실,브리핑실,예산팀장실,기획조정실장실",기획정책층
9,천안시청 본관,9,본관 9층,"도시계획과,건설도로과,안전총괄과","재난안전상황실,건설안전교통국장실",건설안전층
10,천안시청 본관,10,본관 10층,"대중교통과,도시재생과,교통정책과,산업단지조성추진과,하천과,체육진흥과","도시주택국장실",도시교통층
11,천안시청 본관,11,본관 11층,"관광과,문화예술과,공동주택과,건축과","",문화도시층
12,오룡홀,2,오룡홀 2층,"축구종합센터건립추진과,토지정보과,공공시설과","",문화시설층
